symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price
ALB,macd_pullback,5m,short,5,2025-03-31T16:10:00+00:00,2025-03-31T16:15:00+00:00,71.45,2025-04-03T13:55:00+00:00,67.16,take_profit,192,21.45,6.0042,73.59,67.16
ALB,macd_pullback,5m,short,5,2025-04-03T18:00:00+00:00,2025-04-03T18:05:00+00:00,67.57,2025-04-04T13:30:00+00:00,63.52,take_profit,24,20.25,5.9938,69.6,63.52
ALB,macd_pullback,5m,short,5,2025-04-04T18:25:00+00:00,2025-04-04T18:30:00+00:00,57.99,2025-04-07T13:55:00+00:00,59.73,stop_loss,24,-8.7,-3.0005,59.73,54.51
ALB,macd_pullback,5m,short,5,2025-04-09T14:55:00+00:00,2025-04-09T15:00:00+00:00,50.49,2025-04-09T15:45:00+00:00,52.0,stop_loss,10,-7.55,-2.9907,52.0,47.46
ALB,macd_pullback,5m,long,5,2025-04-14T16:45:00+00:00,2025-04-14T16:50:00+00:00,57.31,2025-04-15T13:55:00+00:00,55.59,stop_loss,43,-8.6,-3.0012,55.59,60.75
ALB,macd_pullback,5m,short,5,2025-04-16T14:05:00+00:00,2025-04-16T14:10:00+00:00,53.72,2025-04-22T16:10:00+00:00,55.33,stop_loss,255,-8.05,-2.997,55.33,50.5
ALB,macd_pullback,5m,long,5,2025-04-22T18:35:00+00:00,2025-04-22T18:40:00+00:00,54.91,2025-04-23T13:30:00+00:00,58.2,take_profit,16,16.45,5.9916,53.26,58.2
ALB,macd_pullback,5m,long,5,2025-04-24T19:40:00+00:00,2025-04-24T19:45:00+00:00,58.41,2025-04-30T13:45:00+00:00,56.66,stop_loss,232,-8.75,-2.9961,56.66,61.91
ALB,macd_pullback,5m,long,5,2025-05-02T14:10:00+00:00,2025-05-02T14:15:00+00:00,60.255,2025-05-05T13:30:00+00:00,58.45,stop_loss,69,-9.025,-2.9956,58.45,63.87
ALB,macd_pullback,5m,short,5,2025-05-05T18:25:00+00:00,2025-05-05T18:30:00+00:00,58.345,2025-05-12T13:30:00+00:00,60.1,stop_loss,315,-8.775,-3.008,60.1,54.84
ALB,macd_pullback,5m,long,5,2025-05-12T16:45:00+00:00,2025-05-12T16:50:00+00:00,61.935,2025-05-15T13:30:00+00:00,60.08,stop_loss,187,-9.275,-2.9951,60.08,65.65
ALB,macd_pullback,5m,short,5,2025-05-15T17:15:00+00:00,2025-05-15T17:20:00+00:00,59.82,2025-05-22T13:30:00+00:00,56.23,take_profit,333,17.95,6.0013,61.61,56.23
ALB,macd_pullback,5m,short,5,2025-05-23T16:05:00+00:00,2025-05-23T16:15:00+00:00,57.39,2025-05-28T17:45:00+00:00,59.11,stop_loss,170,-8.6,-2.997,59.11,53.95
ALB,macd_pullback,5m,short,5,2025-05-30T16:25:00+00:00,2025-05-30T16:30:00+00:00,56.06,2025-06-04T13:30:00+00:00,57.74,stop_loss,198,-8.4,-2.9968,57.74,52.7
ALB,macd_pullback,5m,long,5,2025-06-04T19:20:00+00:00,2025-06-04T19:25:00+00:00,59.815,2025-06-05T19:20:00+00:00,58.02,stop_loss,78,-8.975,-3.0009,58.02,63.4
ALB,macd_pullback,5m,long,5,2025-06-06T18:55:00+00:00,2025-06-06T19:00:00+00:00,59.59,2025-06-09T17:20:00+00:00,63.17,take_profit,59,17.9,6.0077,57.8,63.17
ALB,macd_pullback,5m,long,5,2025-06-10T16:50:00+00:00,2025-06-10T16:55:00+00:00,64.11,2025-06-13T13:30:00+00:00,62.19,stop_loss,189,-9.6,-2.9949,62.19,67.96
ALB,macd_pullback,5m,short,5,2025-06-13T17:20:00+00:00,2025-06-13T17:25:00+00:00,61.04,2025-06-20T13:35:00+00:00,57.38,take_profit,259,18.3,5.9961,62.87,57.38
ALB,macd_pullback,5m,short,5,2025-06-20T17:10:00+00:00,2025-06-20T17:15:00+00:00,57.38,2025-06-24T13:30:00+00:00,59.1,stop_loss,106,-8.6,-2.9976,59.1,53.94
ALB,macd_pullback,5m,long,5,2025-06-24T18:30:00+00:00,2025-06-24T18:35:00+00:00,60.48,2025-06-26T15:30:00+00:00,64.11,take_profit,119,18.15,6.002,58.67,64.11
ALB,macd_pullback,5m,short,5,2025-06-30T18:20:00+00:00,2025-06-30T18:25:00+00:00,63.13,2025-07-02T13:30:00+00:00,65.02,stop_loss,93,-9.45,-2.9938,65.02,59.34
ALB,macd_pullback,5m,short,5,2025-07-07T18:25:00+00:00,2025-07-07T18:30:00+00:00,64.39,2025-07-08T13:30:00+00:00,66.32,stop_loss,19,-9.65,-2.9974,66.32,60.53
ALB,macd_pullback,5m,long,5,2025-07-08T18:10:00+00:00,2025-07-08T18:15:00+00:00,71.77,2025-07-09T13:45:00+00:00,69.62,stop_loss,23,-10.75,-2.9957,69.62,76.08
ALB,macd_pullback,5m,long,5,2025-07-09T19:30:00+00:00,2025-07-09T19:35:00+00:00,70.71,2025-07-10T14:00:00+00:00,74.95,take_profit,12,21.2,5.9963,68.59,74.95
