symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price,stop_source,risk_reward_multiple
ALB,macd_pullback,5m,short,5,2025-03-31T16:10:00+00:00,2025-03-31T16:15:00+00:00,71.45,2025-04-02T16:55:00+00:00,73.44,stop_loss,153,-9.95,-2.7852,73.44,68.47,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-04-02T19:35:00+00:00,2025-04-02T19:40:00+00:00,72.41,2025-04-03T13:30:00+00:00,72.13,stop_loss,5,-1.4,-0.3867,72.13,72.83,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-04-03T18:00:00+00:00,2025-04-03T18:05:00+00:00,67.57,2025-04-04T13:30:00+00:00,63.2,take_profit,24,21.85,6.4674,70.48,63.2,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-04-04T18:25:00+00:00,2025-04-04T18:30:00+00:00,57.99,2025-06-11T13:30:00+00:00,65.22,stop_loss,3438,-36.15,-12.4677,65.22,47.15,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-06-13T17:20:00+00:00,2025-06-13T17:25:00+00:00,61.04,2025-06-20T13:30:00+00:00,58.43,take_profit,258,13.05,4.2759,62.78,58.43,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-06-20T17:10:00+00:00,2025-06-20T17:15:00+00:00,57.38,2025-06-24T13:30:00+00:00,59.37,stop_loss,106,-9.95,-3.4681,59.37,54.4,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-06-24T18:30:00+00:00,2025-06-24T18:35:00+00:00,60.48,2025-06-26T13:30:00+00:00,62.88,take_profit,95,12.0,3.9683,58.88,62.88,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-06-30T18:20:00+00:00,2025-06-30T18:25:00+00:00,63.13,2025-07-01T13:30:00+00:00,62.7,take_profit,20,2.15,0.6811,63.42,62.7,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-07-07T18:25:00+00:00,2025-07-07T18:30:00+00:00,64.39,2025-07-08T13:30:00+00:00,65.74,stop_loss,19,-6.75,-2.0966,65.74,62.37,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-07-08T18:10:00+00:00,2025-07-08T18:15:00+00:00,71.77,2025-07-18T13:30:00+00:00,77.94,take_profit,546,30.85,8.5969,67.66,77.94,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-07-18T15:55:00+00:00,2025-07-18T16:00:00+00:00,77.39,2025-07-22T15:40:00+00:00,82.0,take_profit,152,23.05,5.9568,74.32,82.0,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-07-24T17:30:00+00:00,2025-07-24T17:35:00+00:00,83.715,2025-07-28T13:30:00+00:00,81.04,stop_loss,106,-13.375,-3.1954,81.04,87.73,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-07-29T19:15:00+00:00,2025-07-29T19:20:00+00:00,71.36,2025-07-31T13:35:00+00:00,65.45,take_profit,88,29.55,8.282,75.3,65.45,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-04T15:15:00+00:00,2025-08-04T15:20:00+00:00,68.995,2025-08-04T18:00:00+00:00,68.51,stop_loss,33,-2.425,-0.7029,68.51,69.72,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-04T18:25:00+00:00,2025-08-04T18:30:00+00:00,68.95,2025-08-04T19:25:00+00:00,68.58,stop_loss,12,-1.85,-0.5366,68.58,69.51,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-07T16:05:00+00:00,2025-08-07T16:10:00+00:00,71.5,2025-08-08T18:10:00+00:00,75.61,take_profit,104,20.55,5.7483,68.76,75.61,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-12T16:30:00+00:00,2025-08-12T16:35:00+00:00,79.575,2025-08-13T19:45:00+00:00,82.13,take_profit,112,12.775,3.2108,77.87,82.13,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-14T14:35:00+00:00,2025-08-14T14:40:00+00:00,80.955,2025-08-18T13:30:00+00:00,83.08,take_profit,134,10.625,2.6249,79.54,83.08,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-08-19T19:00:00+00:00,2025-08-19T19:05:00+00:00,80.695,2025-08-20T13:30:00+00:00,78.71,take_profit,12,9.925,2.4599,82.02,78.71,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-08-20T18:05:00+00:00,2025-08-20T18:15:00+00:00,78.02,2025-08-22T14:00:00+00:00,80.47,stop_loss,82,-12.25,-3.1402,80.47,74.34,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-29T16:05:00+00:00,2025-08-29T16:10:00+00:00,85.52,2025-09-02T13:30:00+00:00,84.6,stop_loss,42,-4.6,-1.0758,84.6,86.9,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-09-02T18:20:00+00:00,2025-09-02T18:25:00+00:00,79.52,2025-09-05T13:30:00+00:00,82.63,stop_loss,144,-15.55,-3.911,82.63,74.85,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-09-08T17:40:00+00:00,2025-09-08T17:45:00+00:00,81.65,2025-09-09T13:30:00+00:00,80.98,stop_loss,27,-3.35,-0.8206,80.98,82.66,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-09-09T17:40:00+00:00,2025-09-09T17:45:00+00:00,72.34,2025-09-15T13:30:00+00:00,77.99,stop_loss,247,-28.25,-7.8103,77.99,63.87,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-09-15T19:15:00+00:00,2025-09-15T19:20:00+00:00,81.29,2025-09-25T14:40:00+00:00,86.45,take_profit,515,25.8,6.3476,77.85,86.45,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-09-26T18:25:00+00:00,2025-09-26T18:30:00+00:00,87.94,2025-09-30T13:30:00+00:00,85.52,stop_loss,91,-12.1,-2.7519,85.52,91.57,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-01T18:15:00+00:00,2025-10-01T18:20:00+00:00,84.06,2025-10-02T13:30:00+00:00,84.63,take_profit,21,2.85,0.6781,83.68,84.63,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-02T17:35:00+00:00,2025-10-02T17:40:00+00:00,86.88,2025-10-06T13:30:00+00:00,89.67,take_profit,92,13.95,3.2113,85.02,89.67,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-09T16:20:00+00:00,2025-10-09T16:25:00+00:00,99.4,2025-10-10T14:55:00+00:00,93.13,stop_loss,61,-31.35,-6.3078,93.13,108.81,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-13T18:30:00+00:00,2025-10-13T18:35:00+00:00,97.0,2025-10-14T13:30:00+00:00,95.0,stop_loss,18,-10.0,-2.0619,95.0,100.0,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-15T16:00:00+00:00,2025-10-15T16:05:00+00:00,98.02,2025-10-15T17:15:00+00:00,96.16,stop_loss,11,-9.3,-1.8976,96.16,100.81,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-16T18:10:00+00:00,2025-10-16T18:15:00+00:00,94.62,2025-10-17T19:00:00+00:00,91.65,take_profit,86,14.85,3.1389,96.6,91.65,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-21T17:15:00+00:00,2025-10-21T17:20:00+00:00,92.31,2025-10-22T16:30:00+00:00,89.21,take_profit,65,15.5,3.3582,94.38,89.21,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-28T15:40:00+00:00,2025-10-28T15:45:00+00:00,95.745,2025-10-29T13:30:00+00:00,98.84,stop_loss,47,-15.475,-3.2325,98.84,91.1,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-30T14:20:00+00:00,2025-10-30T14:25:00+00:00,97.41,2025-10-30T15:25:00+00:00,98.63,stop_loss,13,-6.1,-1.2524,98.63,95.58,ema200_buffer,1.5
