symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price,stop_distance,stop_distance_frac_of_price,stop_source,risk_reward_multiple
ALB,macd_pullback,5m,short,5,2025-03-31T16:10:00+00:00,2025-03-31T16:15:00+00:00,71.45,2025-04-02T16:55:00+00:00,73.44,stop_loss,153,-9.95,-2.7852,73.44,68.47,1.99,0.027852,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-04-02T19:35:00+00:00,2025-04-02T19:40:00+00:00,72.41,2025-04-03T13:30:00+00:00,72.13,stop_loss,5,-1.4,-0.3867,72.13,72.83,0.28,0.003867,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-04-14T16:45:00+00:00,2025-04-14T16:50:00+00:00,57.31,2025-04-15T13:55:00+00:00,56.09,stop_loss,43,-6.1,-2.1288,56.09,59.14,1.22,0.021288,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-04-16T14:05:00+00:00,2025-04-16T14:10:00+00:00,53.72,2025-04-21T14:05:00+00:00,50.96,take_profit,154,13.8,5.1378,55.56,50.96,1.84,0.034252,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-04-21T17:05:00+00:00,2025-04-21T17:10:00+00:00,51.475,2025-04-21T19:30:00+00:00,52.7,stop_loss,28,-6.125,-2.3798,52.7,49.64,1.225,0.023798,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-04-22T18:35:00+00:00,2025-04-22T18:40:00+00:00,54.91,2025-04-23T13:30:00+00:00,57.04,take_profit,16,10.65,3.8791,53.49,57.04,1.42,0.02586,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-04-24T19:40:00+00:00,2025-04-24T19:45:00+00:00,58.41,2025-04-30T13:55:00+00:00,56.39,stop_loss,234,-10.1,-3.4583,56.39,61.44,2.02,0.034583,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-05-02T14:10:00+00:00,2025-05-02T14:15:00+00:00,60.255,2025-05-05T13:30:00+00:00,58.88,stop_loss,69,-6.875,-2.282,58.88,62.32,1.375,0.02282,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-05T18:25:00+00:00,2025-05-05T18:30:00+00:00,58.345,2025-05-07T13:30:00+00:00,57.0,take_profit,95,6.725,2.3053,59.24,57.0,0.895,0.01534,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-07T16:25:00+00:00,2025-05-07T16:30:00+00:00,56.68,2025-05-08T15:45:00+00:00,57.97,stop_loss,66,-6.45,-2.2759,57.97,54.75,1.29,0.022759,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-05-08T19:20:00+00:00,2025-05-08T19:25:00+00:00,57.73,2025-05-08T19:50:00+00:00,57.41,stop_loss,6,-1.6,-0.5543,57.41,58.21,0.32,0.005543,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-05-13T17:35:00+00:00,2025-05-13T17:40:00+00:00,62.01,2025-05-15T13:30:00+00:00,60.47,stop_loss,101,-7.7,-2.4835,60.47,64.32,1.54,0.024835,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-15T17:15:00+00:00,2025-05-15T17:20:00+00:00,59.82,2025-05-16T14:05:00+00:00,58.74,take_profit,40,5.4,1.8054,60.54,58.74,0.72,0.012036,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-19T16:00:00+00:00,2025-05-19T16:05:00+00:00,59.395,2025-05-19T16:40:00+00:00,58.86,take_profit,8,2.675,0.9007,59.75,58.86,0.355,0.005977,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-19T17:55:00+00:00,2025-05-19T18:00:00+00:00,59.08,2025-05-20T14:05:00+00:00,59.65,stop_loss,31,-2.85,-0.9648,59.65,58.22,0.57,0.009648,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-05-20T17:35:00+00:00,2025-05-20T17:40:00+00:00,60.025,2025-05-20T18:25:00+00:00,59.53,stop_loss,10,-2.475,-0.8247,59.53,60.77,0.495,0.008247,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-21T17:20:00+00:00,2025-05-21T17:25:00+00:00,57.6,2025-05-30T13:30:00+00:00,55.25,take_profit,405,11.75,4.0799,59.17,55.25,1.57,0.027257,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-05-30T16:25:00+00:00,2025-05-30T16:30:00+00:00,56.06,2025-06-03T13:30:00+00:00,54.12,take_profit,121,9.7,3.4606,57.35,54.12,1.29,0.023011,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-06-04T19:20:00+00:00,2025-06-04T19:25:00+00:00,59.815,2025-06-09T16:50:00+00:00,62.76,take_profit,201,14.725,4.9235,57.85,62.76,1.965,0.032851,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-06-10T16:50:00+00:00,2025-06-10T16:55:00+00:00,64.11,2025-06-13T13:30:00+00:00,61.9,stop_loss,189,-11.05,-3.4472,61.9,67.42,2.21,0.034472,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-06-13T17:20:00+00:00,2025-06-13T17:25:00+00:00,61.04,2025-06-20T13:30:00+00:00,58.43,take_profit,258,13.05,4.2759,62.78,58.43,1.74,0.028506,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-06-20T17:10:00+00:00,2025-06-20T17:15:00+00:00,57.38,2025-06-24T13:30:00+00:00,59.37,stop_loss,106,-9.95,-3.4681,59.37,54.4,1.99,0.034681,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-06-24T18:30:00+00:00,2025-06-24T18:35:00+00:00,60.48,2025-06-26T13:30:00+00:00,62.88,take_profit,95,12.0,3.9683,58.88,62.88,1.6,0.026455,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-06-30T18:20:00+00:00,2025-06-30T18:25:00+00:00,63.13,2025-07-01T13:30:00+00:00,62.7,take_profit,20,2.15,0.6811,63.42,62.7,0.29,0.004594,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-07-07T18:25:00+00:00,2025-07-07T18:30:00+00:00,64.39,2025-07-08T13:30:00+00:00,65.74,stop_loss,19,-6.75,-2.0966,65.74,62.37,1.35,0.020966,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-07-09T19:30:00+00:00,2025-07-09T19:35:00+00:00,70.71,2025-07-10T13:40:00+00:00,72.93,take_profit,8,11.1,3.1396,69.23,72.93,1.48,0.020931,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-07-14T14:05:00+00:00,2025-07-14T14:10:00+00:00,70.9,2025-07-14T19:45:00+00:00,71.9,stop_loss,65,-5.0,-1.4104,71.9,69.4,1.0,0.014104,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-07-15T19:55:00+00:00,2025-07-16T13:30:00+00:00,70.27,2025-07-17T13:30:00+00:00,71.12,stop_loss,73,-4.25,-1.2096,71.12,68.99,0.85,0.012096,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-07-24T17:30:00+00:00,2025-07-24T17:35:00+00:00,83.715,2025-07-28T13:30:00+00:00,81.04,stop_loss,106,-13.375,-3.1954,81.04,87.73,2.675,0.031954,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-04T15:15:00+00:00,2025-08-04T15:20:00+00:00,68.995,2025-08-04T18:00:00+00:00,68.51,stop_loss,33,-2.425,-0.7029,68.51,69.72,0.485,0.007029,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-04T18:25:00+00:00,2025-08-04T18:30:00+00:00,68.95,2025-08-04T19:25:00+00:00,68.58,stop_loss,12,-1.85,-0.5366,68.58,69.51,0.37,0.005366,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-07T16:05:00+00:00,2025-08-07T16:10:00+00:00,71.5,2025-08-08T18:10:00+00:00,75.61,take_profit,104,20.55,5.7483,68.76,75.61,2.74,0.038322,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-12T16:30:00+00:00,2025-08-12T16:35:00+00:00,79.575,2025-08-13T19:45:00+00:00,82.13,take_profit,112,12.775,3.2108,77.87,82.13,1.705,0.021426,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-14T14:35:00+00:00,2025-08-14T14:40:00+00:00,80.955,2025-08-18T13:30:00+00:00,83.08,take_profit,134,10.625,2.6249,79.54,83.08,1.415,0.017479,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-08-19T19:00:00+00:00,2025-08-19T19:05:00+00:00,80.695,2025-08-20T13:30:00+00:00,78.71,take_profit,12,9.925,2.4599,82.02,78.71,1.325,0.01642,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-08-20T18:05:00+00:00,2025-08-20T18:15:00+00:00,78.02,2025-08-22T14:00:00+00:00,80.47,stop_loss,82,-12.25,-3.1402,80.47,74.34,2.45,0.031402,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-08-29T16:05:00+00:00,2025-08-29T16:10:00+00:00,85.52,2025-09-02T13:30:00+00:00,84.6,stop_loss,42,-4.6,-1.0758,84.6,86.9,0.92,0.010758,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-09-02T18:20:00+00:00,2025-09-02T18:25:00+00:00,79.52,2025-09-05T13:30:00+00:00,82.63,stop_loss,144,-15.55,-3.911,82.63,74.85,3.11,0.03911,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-09-08T17:40:00+00:00,2025-09-08T17:45:00+00:00,81.65,2025-09-09T13:30:00+00:00,80.98,stop_loss,27,-3.35,-0.8206,80.98,82.66,0.67,0.008206,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-09-10T17:50:00+00:00,2025-09-10T17:55:00+00:00,73.36,2025-09-11T17:00:00+00:00,75.5,stop_loss,67,-10.7,-2.9171,75.5,70.15,2.14,0.029171,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-09-15T19:45:00+00:00,2025-09-15T19:50:00+00:00,81.25,2025-09-25T14:40:00+00:00,86.08,take_profit,509,24.15,5.9446,78.03,86.08,3.22,0.039631,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-09-26T18:25:00+00:00,2025-09-26T18:30:00+00:00,87.94,2025-09-30T13:30:00+00:00,85.52,stop_loss,91,-12.1,-2.7519,85.52,91.57,2.42,0.027519,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-01T18:15:00+00:00,2025-10-01T18:20:00+00:00,84.06,2025-10-02T13:30:00+00:00,84.63,take_profit,21,2.85,0.6781,83.68,84.63,0.38,0.004521,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-02T17:35:00+00:00,2025-10-02T17:40:00+00:00,86.88,2025-10-06T13:30:00+00:00,89.67,take_profit,92,13.95,3.2113,85.02,89.67,1.86,0.021409,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-13T18:30:00+00:00,2025-10-13T18:35:00+00:00,97.0,2025-10-14T13:30:00+00:00,95.0,stop_loss,18,-10.0,-2.0619,95.0,100.0,2.0,0.020619,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-10-15T16:00:00+00:00,2025-10-15T16:05:00+00:00,98.02,2025-10-15T17:15:00+00:00,96.16,stop_loss,11,-9.3,-1.8976,96.16,100.81,1.86,0.018976,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-16T18:10:00+00:00,2025-10-16T18:15:00+00:00,94.62,2025-10-17T19:00:00+00:00,91.65,take_profit,86,14.85,3.1389,96.6,91.65,1.98,0.020926,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-21T17:15:00+00:00,2025-10-21T17:20:00+00:00,92.31,2025-10-22T16:30:00+00:00,89.21,take_profit,65,15.5,3.3582,94.38,89.21,2.07,0.022424,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-28T15:40:00+00:00,2025-10-28T15:45:00+00:00,95.745,2025-10-29T13:30:00+00:00,98.84,stop_loss,47,-15.475,-3.2325,98.84,91.1,3.095,0.032325,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-30T14:20:00+00:00,2025-10-30T14:25:00+00:00,97.41,2025-10-30T15:25:00+00:00,98.63,stop_loss,13,-6.1,-1.2524,98.63,95.58,1.22,0.012524,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-10-31T19:50:00+00:00,2025-10-31T19:55:00+00:00,98.3,2025-11-03T14:40:00+00:00,98.84,stop_loss,4,-2.7,-0.5493,98.84,97.49,0.54,0.005493,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-11-03T18:05:00+00:00,2025-11-03T18:10:00+00:00,96.36,2025-11-04T14:30:00+00:00,93.51,take_profit,35,14.25,2.9577,98.26,93.51,1.9,0.019718,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-11-05T19:55:00+00:00,2025-11-05T20:00:00+00:00,92.78,2025-11-05T20:15:00+00:00,92.3,stop_loss,4,-2.4,-0.5174,92.3,93.5,0.48,0.005174,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-11-05T20:20:00+00:00,2025-11-05T20:25:00+00:00,92.2,2025-11-05T20:50:00+00:00,92.49,stop_loss,6,-1.45,-0.3145,92.49,91.77,0.29,0.003145,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-11-06T19:50:00+00:00,2025-11-06T19:55:00+00:00,91.68,2025-11-07T14:30:00+00:00,90.27,take_profit,14,7.05,1.538,92.62,90.27,0.94,0.010253,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-11-07T17:20:00+00:00,2025-11-07T17:25:00+00:00,96.21,2025-11-10T14:30:00+00:00,100.62,take_profit,42,22.05,4.5837,93.27,100.62,2.94,0.030558,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-11-11T20:15:00+00:00,2025-11-11T20:20:00+00:00,103.07,2025-11-12T14:30:00+00:00,106.59,take_profit,9,17.6,3.4152,100.72,106.59,2.35,0.0228,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-11-14T19:15:00+00:00,2025-11-14T19:20:00+00:00,115.63,2025-11-17T14:30:00+00:00,120.19,take_profit,21,22.8,3.9436,112.59,120.19,3.04,0.026291,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-11-18T18:00:00+00:00,2025-11-18T18:05:00+00:00,120.915,2025-11-19T14:45:00+00:00,125.02,take_profit,39,20.525,3.3949,118.18,125.02,2.735,0.022619,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-11-21T20:00:00+00:00,2025-11-21T20:05:00+00:00,117.36,2025-11-24T14:30:00+00:00,115.5,take_profit,12,9.3,1.5849,118.6,115.5,1.24,0.010566,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-11-24T17:00:00+00:00,2025-11-24T17:10:00+00:00,114.53,2025-11-25T14:30:00+00:00,117.7,stop_loss,43,-15.85,-2.7678,117.7,109.78,3.17,0.027678,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-11-26T15:20:00+00:00,2025-11-26T15:25:00+00:00,125.28,2025-12-01T14:50:00+00:00,132.15,take_profit,98,34.35,5.4837,120.7,132.15,4.58,0.036558,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-12-01T16:40:00+00:00,2025-12-01T16:45:00+00:00,129.88,2025-12-03T14:30:00+00:00,126.18,stop_loss,125,-18.5,-2.8488,126.18,135.43,3.7,0.028488,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-12-04T17:05:00+00:00,2025-12-04T17:10:00+00:00,122.24,2025-12-05T14:30:00+00:00,125.82,stop_loss,47,-17.9,-2.9287,125.82,116.87,3.58,0.029287,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-12-05T19:15:00+00:00,2025-12-05T19:20:00+00:00,126.98,2025-12-05T20:55:00+00:00,125.13,stop_loss,20,-9.25,-1.4569,125.13,129.76,1.85,0.014569,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-12-08T17:05:00+00:00,2025-12-08T17:10:00+00:00,125.48,2025-12-08T17:15:00+00:00,125.76,stop_loss,2,-1.4,-0.2231,125.76,125.06,0.28,0.002231,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-12-08T17:15:00+00:00,2025-12-08T17:20:00+00:00,125.63,2025-12-08T17:20:00+00:00,125.51,stop_loss,1,-0.6,-0.0955,125.51,125.81,0.12,0.000955,ema200_buffer,1.5
ALB,macd_pullback,5m,short,5,2025-12-08T17:20:00+00:00,2025-12-08T17:25:00+00:00,125.48,2025-12-08T17:45:00+00:00,125.76,stop_loss,5,-1.4,-0.2231,125.76,125.06,0.28,0.002231,ema200_buffer,1.5
ALB,macd_pullback,5m,long,5,2025-12-11T18:40:00+00:00,2025-12-11T18:50:00+00:00,134.27,2025-12-12T16:10:00+00:00,131.34,stop_loss,40,-14.65,-2.1822,131.34,138.67,2.93,0.021822,ema200_buffer,1.5
