symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price,stop_distance,stop_distance_frac_of_price,stop_source,risk_reward_multiple,time_stop_triggered,macd_failure_triggered
ALB,macd_pullback,5m,short,5,2025-03-31T16:10:00+00:00,2025-03-31T16:15:00+00:00,71.45,2025-03-31T17:55:00+00:00,71.505,time_stop,19,-0.275,-0.077,73.44,68.47,1.99,0.027852,ema200_buffer,1.5,True,False
ALB,macd_pullback,5m,long,5,2025-04-02T19:35:00+00:00,2025-04-02T19:40:00+00:00,72.41,2025-04-03T13:30:00+00:00,72.13,stop_loss,5,-1.4,-0.3867,72.13,72.83,0.28,0.003867,ema200_buffer,1.5,False,False
ALB,macd_pullback,5m,long,5,2025-04-14T16:45:00+00:00,2025-04-14T16:50:00+00:00,57.31,2025-04-14T18:20:00+00:00,58.24,time_stop,19,4.65,1.6228,56.09,59.14,1.22,0.021288,ema200_buffer,1.5,True,False
ALB,macd_pullback,5m,short,5,2025-04-16T14:05:00+00:00,2025-04-16T14:10:00+00:00,53.72,2025-04-16T15:15:00+00:00,53.23,macd_failure,14,2.45,0.9121,55.56,50.96,1.84,0.034252,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,short,5,2025-04-17T17:30:00+00:00,2025-04-17T17:35:00+00:00,52.465,2025-04-17T17:55:00+00:00,52.615,macd_failure,5,-0.75,-0.2859,53.51,50.9,1.045,0.019918,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,short,5,2025-04-17T18:15:00+00:00,2025-04-17T18:20:00+00:00,52.72,2025-04-17T19:55:00+00:00,52.85,macd_failure,18,-0.65,-0.2466,53.44,51.64,0.72,0.013657,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,short,5,2025-04-21T17:05:00+00:00,2025-04-21T17:10:00+00:00,51.475,2025-04-21T17:45:00+00:00,51.82,macd_failure,8,-1.725,-0.6702,52.7,49.64,1.225,0.023798,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,long,5,2025-04-22T18:35:00+00:00,2025-04-22T18:40:00+00:00,54.91,2025-04-22T19:20:00+00:00,54.64,macd_failure,8,-1.35,-0.4917,53.49,57.04,1.42,0.02586,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,long,5,2025-04-22T19:45:00+00:00,2025-04-22T19:50:00+00:00,54.71,2025-04-23T13:30:00+00:00,56.31,take_profit,3,8.0,2.9245,53.64,56.31,1.07,0.019558,ema200_buffer,1.5,False,False
ALB,macd_pullback,5m,long,5,2025-04-24T19:40:00+00:00,2025-04-24T19:45:00+00:00,58.41,2025-04-25T13:35:00+00:00,58.155,macd_failure,5,-1.275,-0.4366,56.39,61.44,2.02,0.034583,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,long,5,2025-04-25T19:45:00+00:00,2025-04-25T19:50:00+00:00,57.68,2025-04-28T13:35:00+00:00,58.88,take_profit,4,6.0,2.0804,56.88,58.88,0.8,0.01387,ema200_buffer,1.5,False,False
ALB,macd_pullback,5m,long,5,2025-05-02T14:10:00+00:00,2025-05-02T14:15:00+00:00,60.255,2025-05-02T15:15:00+00:00,60.21,macd_failure,13,-0.225,-0.0747,58.88,62.32,1.375,0.02282,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,long,5,2025-05-02T19:25:00+00:00,2025-05-02T19:30:00+00:00,60.78,2025-05-05T13:30:00+00:00,59.69,stop_loss,7,-5.45,-1.7934,59.69,62.42,1.09,0.017934,ema200_buffer,1.5,False,False
ALB,macd_pullback,5m,short,5,2025-05-05T18:25:00+00:00,2025-05-05T18:30:00+00:00,58.345,2025-05-06T13:30:00+00:00,57.25,time_stop,19,5.475,1.8768,59.24,57.0,0.895,0.01534,ema200_buffer,1.5,True,False
ALB,macd_pullback,5m,short,5,2025-05-06T15:05:00+00:00,2025-05-06T15:10:00+00:00,57.825,2025-05-06T16:15:00+00:00,57.81,macd_failure,13,0.075,0.0259,58.92,56.18,1.095,0.018936,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,short,5,2025-05-06T19:50:00+00:00,2025-05-06T19:55:00+00:00,57.53,2025-05-07T14:55:00+00:00,56.93,macd_failure,17,3.0,1.0429,58.38,56.25,0.85,0.014775,ema200_buffer,1.5,False,True
ALB,macd_pullback,5m,short,5,2025-05-07T16:25:00+00:00,2025-05-07T16:30:00+00:00,56.68,2025-05-07T17:05:00+00:00,56.79,macd_failure,8,-0.55,-0.1941,57.97,54.75,1.29,0.022759,ema200_buffer,1.5,False,True
