decision_id,timestamp,bot_version,account,symbol,strategy,strategy_version,interval,action,reason,latest_close,entry_price,buying_power,in_position,position_side,position_qty,qty,market_is_open,force_test_trade,force_direction
ab9c889ae5324bd7ae0ecf1e98b40a19,2026-04-16T15:39:10Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,BUY,macd_pullback,77.445,,200000.0,False,flat,0,51,True,False,SELL
6c2dea515bf74240b29226014fcd5a3f,2026-04-16T16:34:19Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,SELL,macd_failure,76.875,77.43,196029.65,True,long,51,51,True,False,SELL
8c45c7e060d24d11b6c534feda95bdbd,2026-04-20T14:16:42Z,0.3.0,macd_pullback_paper,MSFT,macd_pullback,v2,5m,SELL,macd_pullback,420.3,,199953.78,False,flat,0,9,True,False,SELL
923e42f7216f4ace98d8a378647b7b50,2026-04-20T14:18:33Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,SELL,macd_pullback,78.78,,196173.4,False,flat,0,49,True,False,SELL
6ecdf006fb474ca2a46e3812b4eb3d02,2026-04-20T15:07:05Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,BUY,take_profit,77.83,78.702245,192542.08,True,short,49,49,True,False,SELL
adb83721df4e40f7a7271fcb4c1fc6ec,2026-04-20T16:18:11Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,SELL,macd_pullback,78.57,,196324.47,False,flat,0,49,True,False,SELL
9569eb07e97049fb9044c30b82c74b74,2026-04-20T16:46:20Z,0.3.0,macd_pullback_paper,MSFT,macd_pullback,v2,5m,BUY,time_stop,419.2,420.308889,192442.96,True,short,9,9,True,False,SELL
130e633792c94e19a337751519fa25fc,2026-04-21T14:01:39Z,0.3.0,macd_pullback_paper,AMZN,macd_pullback,v2,5m,BUY,macd_pullback,253.83,,400053.16,False,flat,0,31,True,False,SELL
b08aef5f9af845699df38dc943b4bf6f,2026-04-21T14:10:26Z,0.3.0,macd_pullback_paper,MSFT,macd_pullback,v2,5m,BUY,macd_pullback,424.56,,392196.83,False,flat,0,18,True,False,SELL
e92f57d956174cd1b50b3f56d7da6cf8,2026-04-21T14:17:51Z,0.3.0,macd_pullback_paper,ARKK,macd_pullback,v2,5m,BUY,macd_pullback,80.0,,384553.85,False,flat,0,96,True,False,SELL
